HSCodeNo,HSCode2,HSCode4,HSCode6,HSCode8,HSCode11,endescriptions,thdescriptions,HSYear,endescriptions2,thdescriptions2,endescriptions4,thdescriptions4,endescriptions6,thdescriptions6,endescriptions8,thdescriptions8,endescriptions11,thdescriptions11,HSCodeEnDescriptions2,HSCodeTHDescriptions2,HSCodeEnDescriptions4,HSCodeTHDescriptions4,HSCodeEnDescriptions6,HSCodeTHDescriptions6,HSCodeEnDescriptions8,HSCodeTHDescriptions8,HSCodeEnDescriptions11,HSCodeTHDescriptions11
28793,20,2008,200899,20089910,20089910090,Other                                                                                                                                                                                                                                                           ,อื่น ๆ                                                                                                                                                                                                                                                        ,2022,"Preparations of vegetables, fruit, nuts or other parts of plants",ของปรุงแต่งทำจากพืชผัก ผลไม้ ลูกนัต หรือจากส่วนอื่นของพืช,"Fruit, nuts and other edible parts of plants, otherwise prepared or preserved, whether or not containing added sugar or other sweetening matter or spirit, not elsewhere specified or included.",ผลไม้ ลูกนัต และส่วนอื่นที่บริโภคได้ของพืชที่ปรุงแต่งหรือท้าไว้ไม่ให้เสียโดยวิธีอื่น จะเติมน้้าตาลหรือสารท้าให้หวานอื่นๆ หรือสุราหรือไม่ก็ตาม ที่ไม่ได้ระบุหรือรวมไว้ในที่อื่น,Other,อื่น ๆ,Lychees,ลิ้นจี่,Other                                                                                                                                                                                                                                                           ,อื่น ๆ                                                                                                                                                                                                                                                        ,"20:Preparations of vegetables, fruit, nuts or other parts of plants",20:ของปรุงแต่งทำจากพืชผัก ผลไม้ ลูกนัต หรือจากส่วนอื่นของพืช,"2008:Fruit, nuts and other edible parts of plants, otherwise prepared or preserved, whether or not containing added sugar or other sweetening matter or spirit, not elsewhere specified or included.",2008:ผลไม้ ลูกนัต และส่วนอื่นที่บริโภคได้ของพืชที่ปรุงแต่งหรือท้าไว้ไม่ให้เสียโดยวิธีอื่น จะเติมน้้าตาลหรือสารท้าให้หวานอื่นๆ หรือสุราหรือไม่ก็ตาม ที่ไม่ได้ระบุหรือรวมไว้ในที่อื่น,200899:Other,200899:อื่น ๆ,20089910:Lychees,20089910:ลิ้นจี่,20089910090:Other                                                                                                                                                                                                                                                           ,20089910090:อื่น ๆ                                                                                                                                                                                                                                                        
76015,87,8703,870332,87033235,87033235999,"Of a cylinder capacity exceeding 1,800 cc but not exceeding 2,000 cc                                                                                                                                                                                            ","ความจุของกระบอกสูบเกิน 1,800 ลูกบาศก์ เซนติเมตร แต่ไม่เกิน 2,000 ลูกบาศก์เซนติเมตร                                                                                                                                                                            ",2022,Tractors (other than tractors of heading 87.09).,แทรกเตอร์(นอกจากแทรกเตอร์ตามประเภท 87.09),"Motor cars and other motor vehicles principally designed for the transport of persons (other than those of heading 87.02), including station wagons and racing cars.",รถยนต์และยานยนต์อื่นๆ ที่ออกแบบสำหรับขนส่งบุคคล เป็นหลัก (นอกจากของตามประเภท 87.02) รวมถึงสเตชั่น แวกอนและรถแข่ง,"Of a cylinder capacity exceeding 1,500 cc but not exceeding 2,500 cc :","ความจุของกระบอกสูบเกิน 1,500 ลูกบาศก์เซนติเมตร แต่ไม่เกิน 2,500 ลูกบาศก์เซนติเมตร","Of a cylinder capacity exceeding 1,800 cc but not exceeding 2,000 cc","ความจุของกระบอกสูบเกิน 1,800 ลูกบาศก์ เซนติเมตร แต่ไม่เกิน 2,000 ลูกบาศก์เซนติเมตร","Of a cylinder capacity exceeding 1,800 cc but not exceeding 2,000 cc                                                                                                                                                                                            ","ความจุของกระบอกสูบเกิน 1,800 ลูกบาศก์ เซนติเมตร แต่ไม่เกิน 2,000 ลูกบาศก์เซนติเมตร                                                                                                                                                                            ",87:Tractors (other than tractors of heading 87.09).,87:แทรกเตอร์(นอกจากแทรกเตอร์ตามประเภท 87.09),"8703:Motor cars and other motor vehicles principally designed for the transport of persons (other than those of heading 87.02), including station wagons and racing cars.",8703:รถยนต์และยานยนต์อื่นๆ ที่ออกแบบสำหรับขนส่งบุคคล เป็นหลัก (นอกจากของตามประเภท 87.02) รวมถึงสเตชั่น แวกอนและรถแข่ง,"870332:Of a cylinder capacity exceeding 1,500 cc but not exceeding 2,500 cc :","870332:ความจุของกระบอกสูบเกิน 1,500 ลูกบาศก์เซนติเมตร แต่ไม่เกิน 2,500 ลูกบาศก์เซนติเมตร","87033235:Of a cylinder capacity exceeding 1,800 cc but not exceeding 2,000 cc","87033235:ความจุของกระบอกสูบเกิน 1,800 ลูกบาศก์ เซนติเมตร แต่ไม่เกิน 2,000 ลูกบาศก์เซนติเมตร","87033235999:Of a cylinder capacity exceeding 1,800 cc but not exceeding 2,000 cc                                                                                                                                                                                            ","87033235999:ความจุของกระบอกสูบเกิน 1,800 ลูกบาศก์ เซนติเมตร แต่ไม่เกิน 2,000 ลูกบาศก์เซนติเมตร                                                                                                                                                                            "
43610,38,3808,380891,38089199,38089199544,N-sec-BUTYL PHTHALIMIDE                                                                                                                                                                                                                                         ,เอ็น-เซคัลดารี-บิวทิลฟทาลิไมด์                                                                                                                                                                                                                                ,2022,Miscellaneous chemical products ,เคมีภัณฑ์เบ็ดเตล็ด,"Insecticides, rodenticides, fungicides, herbicides, anti-sprouting  products and plant-growth regulators, disinfectants and similar  products, put up in forms or packings for retail sale or as  preparations or articles (e.g. : sulphur-treated bands, wick",สารฆ่าแมลง สารฆ่าสัตว์แทะ สารฆ่ารา สารฆ่าวัชพืช ผลิตภัณฑ์ที่ใช้ป้องกันการงอกของพืช และผลิตภัณฑ์ที่ใช้ควบคุมการเจริญเติบโตของพืช สารทำลายเชื้อและผลิตภัณฑ์ที่คล้ายกัน จัดทำขึ้นในลักษณะหรือบรรจุภาชนะเพื่อการขายปลีก หรือทำเป็นสิ่งปรุงแต่งหรือเป็นของสำเร็จรูป,Insecticides,สารฆ่าแมลง,Other,อื่น ๆ,N-sec-BUTYL PHTHALIMIDE                                                                                                                                                                                                                                         ,เอ็น-เซคัลดารี-บิวทิลฟทาลิไมด์                                                                                                                                                                                                                                ,38:Miscellaneous chemical products ,38:เคมีภัณฑ์เบ็ดเตล็ด,"3808:Insecticides, rodenticides, fungicides, herbicides, anti-sprouting  products and plant-growth regulators, disinfectants and similar  products, put up in forms or packings for retail sale or as  preparations or articles (e.g. : sulphur-treated bands, wick",3808:สารฆ่าแมลง สารฆ่าสัตว์แทะ สารฆ่ารา สารฆ่าวัชพืช ผลิตภัณฑ์ที่ใช้ป้องกันการงอกของพืช และผลิตภัณฑ์ที่ใช้ควบคุมการเจริญเติบโตของพืช สารทำลายเชื้อและผลิตภัณฑ์ที่คล้ายกัน จัดทำขึ้นในลักษณะหรือบรรจุภาชนะเพื่อการขายปลีก หรือทำเป็นสิ่งปรุงแต่งหรือเป็นของสำเร็จรูป,380891:Insecticides,380891:สารฆ่าแมลง,38089199:Other,38089199:อื่น ๆ,38089199544:N-sec-BUTYL PHTHALIMIDE                                                                                                                                                                                                                                         ,38089199544:เอ็น-เซคัลดารี-บิวทิลฟทาลิไมด์                                                                                                                                                                                                                                
71701,85,8501,850163,85016300,85016300000,Of an output exceeding 375 kVA but not exceeding 750 kVA                                                                                                                                                                                                        ,ให้กำลังเกิน 375 เควีเอ แต่ไม่เกิน 750 เควีเอ                                                                                                                                                                                                                 ,2022,"Machinery, electrical appliances And components thereof, television recording and reproducing apparatus and components, and assemblies therefor",เครื่องจักร เครื่องอุปกรณ์ไฟฟ้า และส่วนประกอบของเครื่องดังกล่าวเครื่องบันทึกและเครื่องถอดภาพและเสียงทางโทรทัศน์รวมทั้งส่วนประกอบและอุปกรณ์ประกอบของเครื่องดังกล่าว,Electric motors and generators (excluding generating sets).,มอเตอร์ไฟฟ้าและเครื่องกำเนิดไฟฟ้า (ไม่รวมถึงชุดเครื่องกำเนิดไฟฟ้า),Of an output exceeding 375 kVA but not exceeding 750 kVA                                                                                                                                                                                                        ,ให้กำลังเกิน 375 เควีเอ แต่ไม่เกิน 750 เควีเอ                                                                                                                                                                                                                 ,Of an output exceeding 375 kVA but not exceeding 750 kVA                                                                                                                                                                                                        ,ให้กำลังเกิน 375 เควีเอ แต่ไม่เกิน 750 เควีเอ                                                                                                                                                                                                                 ,Of an output exceeding 375 kVA but not exceeding 750 kVA                                                                                                                                                                                                        ,ให้กำลังเกิน 375 เควีเอ แต่ไม่เกิน 750 เควีเอ                                                                                                                                                                                                                 ,"85:Machinery, electrical appliances And components thereof, television recording and reproducing apparatus and components, and assemblies therefor",85:เครื่องจักร เครื่องอุปกรณ์ไฟฟ้า และส่วนประกอบของเครื่องดังกล่าวเครื่องบันทึกและเครื่องถอดภาพและเสียงทางโทรทัศน์รวมทั้งส่วนประกอบและอุปกรณ์ประกอบของเครื่องดังกล่าว,8501:Electric motors and generators (excluding generating sets).,8501:มอเตอร์ไฟฟ้าและเครื่องกำเนิดไฟฟ้า (ไม่รวมถึงชุดเครื่องกำเนิดไฟฟ้า),850163:Of an output exceeding 375 kVA but not exceeding 750 kVA                                                                                                                                                                                                        ,850163:ให้กำลังเกิน 375 เควีเอ แต่ไม่เกิน 750 เควีเอ                                                                                                                                                                                                                 ,85016300:Of an output exceeding 375 kVA but not exceeding 750 kVA                                                                                                                                                                                                        ,85016300:ให้กำลังเกิน 375 เควีเอ แต่ไม่เกิน 750 เควีเอ                                                                                                                                                                                                                 ,85016300000:Of an output exceeding 375 kVA but not exceeding 750 kVA                                                                                                                                                                                                        ,85016300000:ให้กำลังเกิน 375 เควีเอ แต่ไม่เกิน 750 เควีเอ                                                                                                                                                                                                                 
41093,38,3808,380891,38089120,38089120590,SODIUM FLUORIDE                                                                                                                                                                                                                                                 ,โซเดียม ฟลูออไรด์                                                                                                                                                                                                                                             ,2022,Miscellaneous chemical products ,เคมีภัณฑ์เบ็ดเตล็ด,"Insecticides, rodenticides, fungicides, herbicides, anti-sprouting  products and plant-growth regulators, disinfectants and similar  products, put up in forms or packings for retail sale or as  preparations or articles (e.g. : sulphur-treated bands, wick",สารฆ่าแมลง สารฆ่าสัตว์แทะ สารฆ่ารา สารฆ่าวัชพืช ผลิตภัณฑ์ที่ใช้ป้องกันการงอกของพืช และผลิตภัณฑ์ที่ใช้ควบคุมการเจริญเติบโตของพืช สารทำลายเชื้อและผลิตภัณฑ์ที่คล้ายกัน จัดทำขึ้นในลักษณะหรือบรรจุภาชนะเพื่อการขายปลีก หรือทำเป็นสิ่งปรุงแต่งหรือเป็นของสำเร็จรูป,Insecticides,สารฆ่าแมลง,"Other, powder for moulding into mosquito coils",อื่น ๆ เป็นผงสำหรับผสมในขดกันยุง,SODIUM FLUORIDE                                                                                                                                                                                                                                                 ,โซเดียม ฟลูออไรด์                                                                                                                                                                                                                                             ,38:Miscellaneous chemical products ,38:เคมีภัณฑ์เบ็ดเตล็ด,"3808:Insecticides, rodenticides, fungicides, herbicides, anti-sprouting  products and plant-growth regulators, disinfectants and similar  products, put up in forms or packings for retail sale or as  preparations or articles (e.g. : sulphur-treated bands, wick",3808:สารฆ่าแมลง สารฆ่าสัตว์แทะ สารฆ่ารา สารฆ่าวัชพืช ผลิตภัณฑ์ที่ใช้ป้องกันการงอกของพืช และผลิตภัณฑ์ที่ใช้ควบคุมการเจริญเติบโตของพืช สารทำลายเชื้อและผลิตภัณฑ์ที่คล้ายกัน จัดทำขึ้นในลักษณะหรือบรรจุภาชนะเพื่อการขายปลีก หรือทำเป็นสิ่งปรุงแต่งหรือเป็นของสำเร็จรูป,380891:Insecticides,380891:สารฆ่าแมลง,"38089120:Other, powder for moulding into mosquito coils",38089120:อื่น ๆ เป็นผงสำหรับผสมในขดกันยุง,38089120590:SODIUM FLUORIDE                                                                                                                                                                                                                                                 ,38089120590:โซเดียม ฟลูออไรด์                                                                                                                                                                                                                                             
66173,84,8409,840991,84099137,84099137000,Pistons                                                                                                                                                                                                                                                         ,ลูกสูบ                                                                                                                                                                                                                                                        ,2022,"Boiler nuclear reactors, machinery, mechanical appliances and parts thereof.",เครื่องปฏิกรณ์นิวเคลียร์ บอยเลอร์ เครื่องจักร เครื่องใช้กล และส่วนประกอบของเครื่องดังกล่าว,Parts suitable for use solely or principally with the engines of heading no. 84.07 (spark-ignition reciprocating or rotary internal combustion piston engines) or 84.08 (compression-ignition internal combustion pistion engines (diesel or semi-diesel engin,ส่วนประกอบที่เหมาะสำหรับใช้เฉพาะหรือส่วนใหญ่ใช้กับเครื่องยนต์ตามประเภทที่ 84.07 (เครื่องยนต์สันดาปภายในแบบลูกสูบเคลื่อนตรงหรือลูกสูบหมุนชนิดจุดระเบิดด้วยประกายไฟ) หรือ 84.08 (เครื่องยนต์สันดาปภายในแบบลูกสูบชนิดจุดระเบิดด้วยการอัด (เครื่องยนต์ดีเซลหรือกึ่,"Parts suitable for used solely or principally with spark-ignition internal combustion piston engines (e.g. : caburettors, piston, piston ring, piston rods, inlet and exhaust valve etc.)",ส่วนประกอบที่เหมาะสำหรับใช้เฉพาะหรือส่วนใหญ่ใช้กับเครื่องยนต์สันดาปภายในแบบลูกสูบชนิดจุดระเบิดด้วยประกายไฟ (เช่น คาร์บูเรเตอร์ ลูกสูบ แหวนลูกสูบ ก้านลูกสูบ ลิ้นไอเสีย เป็นต้น),Pistons                                                                                                                                                                                                                                                         ,ลูกสูบ                                                                                                                                                                                                                                                        ,Pistons                                                                                                                                                                                                                                                         ,ลูกสูบ                                                                                                                                                                                                                                                        ,"84:Boiler nuclear reactors, machinery, mechanical appliances and parts thereof.",84:เครื่องปฏิกรณ์นิวเคลียร์ บอยเลอร์ เครื่องจักร เครื่องใช้กล และส่วนประกอบของเครื่องดังกล่าว,8409:Parts suitable for use solely or principally with the engines of heading no. 84.07 (spark-ignition reciprocating or rotary internal combustion piston engines) or 84.08 (compression-ignition internal combustion pistion engines (diesel or semi-diesel engin,8409:ส่วนประกอบที่เหมาะสำหรับใช้เฉพาะหรือส่วนใหญ่ใช้กับเครื่องยนต์ตามประเภทที่ 84.07 (เครื่องยนต์สันดาปภายในแบบลูกสูบเคลื่อนตรงหรือลูกสูบหมุนชนิดจุดระเบิดด้วยประกายไฟ) หรือ 84.08 (เครื่องยนต์สันดาปภายในแบบลูกสูบชนิดจุดระเบิดด้วยการอัด (เครื่องยนต์ดีเซลหรือกึ่,"840991:Parts suitable for used solely or principally with spark-ignition internal combustion piston engines (e.g. : caburettors, piston, piston ring, piston rods, inlet and exhaust valve etc.)",840991:ส่วนประกอบที่เหมาะสำหรับใช้เฉพาะหรือส่วนใหญ่ใช้กับเครื่องยนต์สันดาปภายในแบบลูกสูบชนิดจุดระเบิดด้วยประกายไฟ (เช่น คาร์บูเรเตอร์ ลูกสูบ แหวนลูกสูบ ก้านลูกสูบ ลิ้นไอเสีย เป็นต้น),84099137:Pistons                                                                                                                                                                                                                                                         ,84099137:ลูกสูบ                                                                                                                                                                                                                                                        ,84099137000:Pistons                                                                                                                                                                                                                                                         ,84099137000:ลูกสูบ                                                                                                                                                                                                                                                        
64652,76,7616,761699,76169940,76169940000,"Bobbins, spools, reels and similar supports for textile yarn                                                                                                                                                                                                    ",กระสวย แกนม้วน หลอด และสิ่งรองรับที่คล้ายกัน สำหรับด้ายสิ่งทอ                                                                                                                                                                                                 ,2022,Aluminum and aluminum,อะลูมิเนียมและของทำด้วยอะลูมิเนียม,Other articles of aluminium,ของอื่น ๆ ทำด้วยอะลูมิเนียม,Other,อื่น ๆ,"Bobbins, spools, reels and similar supports for textile yarn                                                                                                                                                                                                    ",กระสวย แกนม้วน หลอด และสิ่งรองรับที่คล้ายกัน สำหรับด้ายสิ่งทอ                                                                                                                                                                                                 ,"Bobbins, spools, reels and similar supports for textile yarn                                                                                                                                                                                                    ",กระสวย แกนม้วน หลอด และสิ่งรองรับที่คล้ายกัน สำหรับด้ายสิ่งทอ                                                                                                                                                                                                 ,76:Aluminum and aluminum,76:อะลูมิเนียมและของทำด้วยอะลูมิเนียม,7616:Other articles of aluminium,7616:ของอื่น ๆ ทำด้วยอะลูมิเนียม,761699:Other,761699:อื่น ๆ,"76169940:Bobbins, spools, reels and similar supports for textile yarn                                                                                                                                                                                                    ",76169940:กระสวย แกนม้วน หลอด และสิ่งรองรับที่คล้ายกัน สำหรับด้ายสิ่งทอ                                                                                                                                                                                                 ,"76169940000:Bobbins, spools, reels and similar supports for textile yarn                                                                                                                                                                                                    ",76169940000:กระสวย แกนม้วน หลอด และสิ่งรองรับที่คล้ายกัน สำหรับด้ายสิ่งทอ                                                                                                                                                                                                 
33323,29,2908,290899,29089900,29089900003,"PICRIC ACID (2, 4, 6-TRINITROPHENOL ; PICRONITRIC ACID)                                                                                                                                                                                                         ","กรดพิคริก (2,4,6-ไตรไนโตรฟีนอล กรดพิโครไนตริก)                                                                                                                                                                                                                ",2022,Organic chemicals ,เคมีภัณฑ์อินทรีย์,"Halogenated, sulphonated, nitrated or nitrosated derivatives of phenols or phenol-alcohols.",อนุพันธ์ชนิดฮาโลเจเนเต็ด ซัลโฟเนเต็ด ไนเตรเต็ด หรือชนิดไนไตรเชเต็ด ของฟีนอลหรือฟีนอล-แอลกอฮอล์,Other,อื่น ๆ,Other,อื่น ๆ,"PICRIC ACID (2, 4, 6-TRINITROPHENOL ; PICRONITRIC ACID)                                                                                                                                                                                                         ","กรดพิคริก (2,4,6-ไตรไนโตรฟีนอล กรดพิโครไนตริก)                                                                                                                                                                                                                ",29:Organic chemicals ,29:เคมีภัณฑ์อินทรีย์,"2908:Halogenated, sulphonated, nitrated or nitrosated derivatives of phenols or phenol-alcohols.",2908:อนุพันธ์ชนิดฮาโลเจเนเต็ด ซัลโฟเนเต็ด ไนเตรเต็ด หรือชนิดไนไตรเชเต็ด ของฟีนอลหรือฟีนอล-แอลกอฮอล์,290899:Other,290899:อื่น ๆ,29089900:Other,29089900:อื่น ๆ,"29089900003:PICRIC ACID (2, 4, 6-TRINITROPHENOL ; PICRONITRIC ACID)                                                                                                                                                                                                         ","29089900003:กรดพิคริก (2,4,6-ไตรไนโตรฟีนอล กรดพิโครไนตริก)                                                                                                                                                                                                                "
38144,30,3004,300450,30045021,30045021000,Of a kind taken orally                                                                                                                                                                                                                                          ,ชนิดที่ใช้รับประทาน                                                                                                                                                                                                                                           ,2022,Pharmaceutical products ,ผลิตภัณฑ์ทางเภสัชกรรม,"Medicaments (excluding goods of heading no. 30.02, 30.05 or 30.06) consisting of mixed or unmixed products for therapeutic or prophylactic uses, put up in measured doses (including those in the form of transdermal administration systems) or in forms or p",ยารักษาหรือปัองกันโรค (ไม่รวมถึงของตามประเภทที่ 30.02 30.05 หรือ 30.06) ที่ประกอบด้วยผลิตภัณฑ์ผสมหรือผลิตภัณฑ์ไม่ผสม  สำหรับใช้รักษาหรือป้องกันโรค  ที่จัดทำขึ้นเพื่อใช้ตามขนาดที่กำหนด  (รวมถึงของที่จัดทำขึ้นในลักษณะเพื่อให้ผ่านทางผิวหนัง)  หรือในลักษณะหร,"Other madicaments containing vitamins or other products of heading no.29.36, consisting of mixed or unmixed products for therapeutic or prophylactic uses, put up in measured doses or in forms or packings for retail sale",ยารักษาหรือป้องกันโรคอื่น ๆ  ที่มีไวตามินหรือผลิตภัณฑ์อื่น ๆ ตามประเภทที่ 29.36  ที่ประกอบด้วยผลิตภัณฑ์ผสมหรือผลิตภัณฑ์ไม่ผสม  สำหรับใช้รักษาหรือ       ป้องกันโรค ที่จัดทำขึ้นเพื่อใช้ตามขนาดที่กำหนดหรือในลักษณะหรือบรรจุภาชนะเพื่อการขายปลีก,Of a kind taken orally                                                                                                                                                                                                                                          ,ชนิดที่ใช้รับประทาน                                                                                                                                                                                                                                           ,Of a kind taken orally                                                                                                                                                                                                                                          ,ชนิดที่ใช้รับประทาน                                                                                                                                                                                                                                           ,30:Pharmaceutical products ,30:ผลิตภัณฑ์ทางเภสัชกรรม,"3004:Medicaments (excluding goods of heading no. 30.02, 30.05 or 30.06) consisting of mixed or unmixed products for therapeutic or prophylactic uses, put up in measured doses (including those in the form of transdermal administration systems) or in forms or p",3004:ยารักษาหรือปัองกันโรค (ไม่รวมถึงของตามประเภทที่ 30.02 30.05 หรือ 30.06) ที่ประกอบด้วยผลิตภัณฑ์ผสมหรือผลิตภัณฑ์ไม่ผสม  สำหรับใช้รักษาหรือป้องกันโรค  ที่จัดทำขึ้นเพื่อใช้ตามขนาดที่กำหนด  (รวมถึงของที่จัดทำขึ้นในลักษณะเพื่อให้ผ่านทางผิวหนัง)  หรือในลักษณะหร,"300450:Other madicaments containing vitamins or other products of heading no.29.36, consisting of mixed or unmixed products for therapeutic or prophylactic uses, put up in measured doses or in forms or packings for retail sale",300450:ยารักษาหรือป้องกันโรคอื่น ๆ  ที่มีไวตามินหรือผลิตภัณฑ์อื่น ๆ ตามประเภทที่ 29.36  ที่ประกอบด้วยผลิตภัณฑ์ผสมหรือผลิตภัณฑ์ไม่ผสม  สำหรับใช้รักษาหรือ       ป้องกันโรค ที่จัดทำขึ้นเพื่อใช้ตามขนาดที่กำหนดหรือในลักษณะหรือบรรจุภาชนะเพื่อการขายปลีก,30045021:Of a kind taken orally                                                                                                                                                                                                                                          ,30045021:ชนิดที่ใช้รับประทาน                                                                                                                                                                                                                                           ,30045021000:Of a kind taken orally                                                                                                                                                                                                                                          ,30045021000:ชนิดที่ใช้รับประทาน                                                                                                                                                                                                                                           
60705,72,7214,721420,72142069,72142069000,Other                                                                                                                                                                                                                                                           ,อื่น ๆ                                                                                                                                                                                                                                                        ,2022,Iron and steel,เหล็กและเหล็กกล้า,"Other bars and rods (other than those of heading no. 72.13) of iron or non-alloy steel, not further worked than forged, hot-rolled, hot-drawn or hot-extruded, but including those twisted after rolling.",ท่อนและเส้นอื่น ๆ (นอกจากของดังกล่าวตามประเภทที่ 72.13) ทำด้วยเหล็กหรือเหล็กกล้าไม่เจือ ที่ไม่ได้ทำมากไปกว่าตี รีดร้อน ดึงร้อนหรืออัดรีดร้อน แต่รวมถึงของดังกล่าวที่บิดตัวหลังจากการรีด,"Bars and rods of iron or non-alloy steel, not further worked than hot-rolled, hot-drawn or hot-extruded, containing indentations, ribs, grooves or other deformations produced during the rolling process or twisted after rolling",ท่อนและเส้น ทำด้วยเหล็กหรือเหล็กกล้าไม่เจือ ที่ไม่ได้ทำมากไปกว่าการรีดร้อน ดึงร้อนหรืออัดรีดร้อน มีรอยเว้า ซี่ ร่อง หรือมีลักษณะอื่นๆ ที่ทำขึ้นในระหว่างกรรมวิธีรีด หรือบิดตัวหลังจากการรีด,Other                                                                                                                                                                                                                                                           ,อื่น ๆ                                                                                                                                                                                                                                                        ,Other                                                                                                                                                                                                                                                           ,อื่น ๆ                                                                                                                                                                                                                                                        ,72:Iron and steel,72:เหล็กและเหล็กกล้า,"7214:Other bars and rods (other than those of heading no. 72.13) of iron or non-alloy steel, not further worked than forged, hot-rolled, hot-drawn or hot-extruded, but including those twisted after rolling.",7214:ท่อนและเส้นอื่น ๆ (นอกจากของดังกล่าวตามประเภทที่ 72.13) ทำด้วยเหล็กหรือเหล็กกล้าไม่เจือ ที่ไม่ได้ทำมากไปกว่าตี รีดร้อน ดึงร้อนหรืออัดรีดร้อน แต่รวมถึงของดังกล่าวที่บิดตัวหลังจากการรีด,"721420:Bars and rods of iron or non-alloy steel, not further worked than hot-rolled, hot-drawn or hot-extruded, containing indentations, ribs, grooves or other deformations produced during the rolling process or twisted after rolling",721420:ท่อนและเส้น ทำด้วยเหล็กหรือเหล็กกล้าไม่เจือ ที่ไม่ได้ทำมากไปกว่าการรีดร้อน ดึงร้อนหรืออัดรีดร้อน มีรอยเว้า ซี่ ร่อง หรือมีลักษณะอื่นๆ ที่ทำขึ้นในระหว่างกรรมวิธีรีด หรือบิดตัวหลังจากการรีด,72142069:Other                                                                                                                                                                                                                                                           ,72142069:อื่น ๆ                                                                                                                                                                                                                                                        ,72142069000:Other                                                                                                                                                                                                                                                           ,72142069000:อื่น ๆ                                                                                                                                                                                                                                                        
