hscode4_text,HSCode2,TranslatedText
ม้า ลา และล่อมีชีวิต,01,"Live horses, donkeys and mules"
สัตว์จำพวกโคกระบือ มีชีวิต,01,Bovine animals live
สุกรมีชีวิต,01,live pig
แกะและแพะมีชีวิต,01,Live sheep and goats
สัตว์ปีกเลี้ยงมีชีวิต ได้แก่ ไก่ชนิดแกลลัสโดเมสติกัส เป็ด ห่าน ไก่งวง และไก่ต๊อก,01,"Live poultry include gallus domesticus, ducks, geese, turkeys and guinea fowl."
สัตว์มีชีวิตอื่น ๆ  นอกจากสัตว์มีชีวิตที่ระบุไว้ตามประเภทที่ 01.01. ถึง 01.05  (ม้า  ลา  และล่อ  สัตว์จำพวกโคกระบือ  สุกร  แกะและแพะ  สัตว์ปีกเลี้ยง  (ไก่ชนิด       แกลลัสโดเมสติกัส  เป็ด  ห่าน  ไก่งวง  และไก่ต๊อก)),01,"Live animals other than those listed in headings 01.01 to 01.05 (horses, donkeys and mules, bovine animals, pigs, sheep and goats, poultry (chickens, gallus domesticus, ducks, geese, turkeys). and guinea fowl))"
เนื้อสัตว์จำพวกโค กระบือ สดหรือแช่เย็น,02,"Bovine meat, fresh or chilled"
เนื้อสัตว์จำพวกโค กระบือ แช่แข็ง,02,Frozen Bovine Meat
เนื้อสุกร สด  แช่เย็นหรือแช่แข็ง,02,"Pork, fresh, chilled or frozen"
เนื้อแกะหรือเนื้อแพะ สด  แช่เย็นหรือแช่แข็ง,02,"Lamb or goat meat, fresh, chilled or frozen"
เนื้อม้า เนื้อลาหรือเนื้อล่อ สด แช่เย็น หรือแช่เย็นจนแข็ง                                                                                                                                                                                                       ,02,"Horse, donkey or mule meat, fresh, chilled or frozen"
ส่วนอื่นที่บริโภคได้ของสัตว์จำพวกโค กระบือ สุกร แกะ แพะ ม้า ลาหรือ   ล่อ สด แช่เย็น หรือแช่แข็ง,02,"Other edible offal of cattle, buffaloes, swine, sheep, goats, horses, donkeys or mules, fresh, chilled or frozen."
เนื้อและส่วนอื่นที่บริโภคได้ของสัตว์ปีกเลี้ยงตามประเภทที่ 01.05   สด แช่เย็น หรือแช่แข็ง,02,"Meat and other edible parts of poultry raised in heading 01.05, fresh, chilled or frozen."
เนื้อและส่วนอื่นที่บริโภคได้ของสัตว์อื่นๆ นอกจากที่ระบุไว้ตามประเภทที่ 02.01 ถึง 02.07 (เนื้อและส่วนอื่นที่บริโภคได้ของสัตว์จำพวกโค กระบือ สุกร แกะ แพะ ม้า ลาหรือล่อ  สัตว์ปีกเลี้ยง (ไก่ชนิดแกลลัสโดเมสติกัส ไก่งวง เป็ด ห่าน หรือไก่ต๊อก)) สด แช่เย็น หรือแ,02,"meat and other edible offal of other animals Other than those specified in headings 02.01 to 02.07 (meat and other edible offal of cattle, swine, sheep, goats, horses, donkeys or mules, domesticated poultry). (Gallus domesticus, turkey, duck, goose or guinea fowl)), fresh, chilled or"
